GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,LHT001,LHT002,LHT003,LHT004
"G0500290","2010","3","7","Arkansas","05","Conway County","029",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Conway County",8463,3512,2815,2136
"G0500310","2010","3","7","Arkansas","05","Craighead County","031",,,,,,,,,,,"27860","99999","308",,,,,,,,,,,,"Craighead County",37291,15076,7547,14668
"G0500330","2010","3","7","Arkansas","05","Crawford County","033",,,,,,,,,,,"22900","99999","999",,,,,,,,,,,,"Crawford County",23447,10953,6298,6196
"G0500350","2010","3","7","Arkansas","05","Crittenden County","035",,,,,,,,,,,"32820","99999","999",,,,,,,,,,,,"Crittenden County",19026,7706,3299,8021
"G0500370","2010","3","7","Arkansas","05","Cross County","037",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Cross County",7002,2685,2070,2247
"G0500390","2010","3","7","Arkansas","05","Dallas County","039",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Dallas County",3280,1011,1260,1009
"G0500410","2010","3","7","Arkansas","05","Desha County","041",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Desha County",5321,1504,1667,2150
"G0500430","2010","3","7","Arkansas","05","Drew County","043",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Drew County",7360,2516,2296,2548
"G0500450","2010","3","7","Arkansas","05","Faulkner County","045",,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,"Faulkner County",42614,19553,7791,15270
"G0500470","2010","3","7","Arkansas","05","Franklin County","047",,,,,,,,,,,"22900","99999","999",,,,,,,,,,,,"Franklin County",7037,3050,2357,1630
"G0500490","2010","3","7","Arkansas","05","Fulton County","049",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Fulton County",5196,2130,2043,1023
"G0500510","2010","3","7","Arkansas","05","Garland County","051",,,,,,,,,,,"26300","99999","999",,,,,,,,,,,,"Garland County",40994,16395,12043,12556
