GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JM0E001,JM0E002,JM0E003,JM0E004,JM0E005,JM0E006,JM0E007,JM0E008,JM0E009,JM0E010,JM0E011,JM0E012,JM0E013,JM0E014,JM0E015,JM0E016,JM0E017,JM0E018,JM0E019,JM0E020,JM0E021,JT5E001,JT5E002,JT5E003,NAME_M,JM0M001,JM0M002,JM0M003,JM0M004,JM0M005,JM0M006,JM0M007,JM0M008,JM0M009,JM0M010,JM0M011,JM0M012,JM0M013,JM0M014,JM0M015,JM0M016,JM0M017,JM0M018,JM0M019,JM0M020,JM0M021,JT5M001,JT5M002,JT5M003
"G2801050","2006-2010",,,"Mississippi","28","Oktibbeha County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oktibbeha County, Mississippi",19762,17975,15698,2277,1912,104,203,15,43,153,140,0,13,0,0,0,56,331,642,89,516,46529,1722,44807,"Oktibbeha County, Mississippi",1010,1080,1072,413,389,72,132,24,57,100,94,127,21,127,127,127,48,268,284,93,158,-1,-1,-1
"G2801070","2006-2010",,,"Mississippi","28","Panola County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Panola County, Mississippi",12554,12165,10522,1643,1099,323,69,11,141,6,6,0,0,0,0,0,16,0,38,191,138,34782,1485,33297,"Panola County, Mississippi",542,537,514,320,241,165,57,17,176,10,10,127,127,127,127,127,21,127,34,86,66,-1,-1,-1
"G2801090","2006-2010",,,"Mississippi","28","Pearl River County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pearl River County, Mississippi",21821,20197,17298,2899,2004,259,156,120,360,74,74,0,0,0,0,0,10,7,452,305,776,55923,2489,53434,"Pearl River County, Mississippi",686,760,737,520,391,122,105,131,269,60,60,127,127,127,127,127,16,13,219,131,228,-1,-1,-1
"G2801110","2006-2010",,,"Mississippi","28","Perry County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Mississippi",4834,4522,3810,712,433,145,24,6,104,41,41,0,0,0,0,0,49,0,95,29,98,12243,618,11625,"Perry County, Mississippi",383,405,338,273,184,94,29,11,174,36,36,127,127,127,127,127,79,127,90,33,63,-1,-1,-1
"G2801130","2006-2010",,,"Mississippi","28","Pike County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Mississippi",14517,13058,11630,1428,1055,272,78,9,14,90,90,0,0,0,0,0,0,0,425,507,437,40284,1605,38679,"Pike County, Mississippi",775,780,719,279,234,134,58,10,19,63,63,127,127,127,127,127,127,127,221,174,151,-1,-1,-1
"G2801150","2006-2010",,,"Mississippi","28","Pontotoc County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pontotoc County, Mississippi",12420,11933,10596,1337,968,334,22,0,13,28,28,0,0,0,0,0,69,0,160,44,186,29523,1146,28377,"Pontotoc County, Mississippi",622,627,595,315,253,182,21,127,25,24,24,127,127,127,127,127,68,127,117,38,94,-1,-1,-1
"G2801170","2006-2010",,,"Mississippi","28","Prentiss County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prentiss County, Mississippi",10008,9698,8930,768,646,96,16,10,0,28,28,0,0,0,0,0,10,0,159,47,66,25411,812,24599,"Prentiss County, Mississippi",539,539,527,227,212,61,25,18,127,47,47,127,127,127,127,127,16,127,107,48,58,-1,-1,-1
"G2801190","2006-2010",,,"Mississippi","28","Quitman County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quitman County, Mississippi",2657,2508,2024,484,349,85,50,0,0,9,9,0,0,0,0,0,0,0,108,7,25,8551,216,8335,"Quitman County, Mississippi",192,195,163,131,112,51,57,127,127,11,11,127,127,127,127,127,127,127,62,9,21,-1,-1,-1
"G2801210","2006-2010",,,"Mississippi","28","Rankin County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rankin County, Mississippi",66356,63306,57373,5933,4513,771,330,161,158,125,125,0,0,0,0,31,153,47,339,540,1815,138523,6968,131555,"Rankin County, Mississippi",1145,1153,1219,682,602,184,132,122,178,90,90,127,127,127,127,37,81,39,139,183,381,-1,-1,-1
"G2801230","2006-2010",,,"Mississippi","28","Scott County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scott County, Mississippi",11744,11354,9101,2253,1540,375,257,39,42,0,0,0,0,0,0,0,0,24,102,144,120,28180,1228,26952,"Scott County, Mississippi",462,477,567,435,289,180,148,39,48,127,127,127,127,127,127,127,127,28,82,101,71,-1,-1,-1
