GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G0200200","2010","4","9","Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,,,"Anchorage Municipality",,291826,291826,279811,251243,28568,12015,0,291826,192498,16226,23130,23580,5901,6846,23645
"G0200500","2010","4","9","Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bethel Census Area",,17013,17013,4434,0,4434,12579,0,17013,1894,65,14109,160,27,45,713
"G0200600","2010","4","9","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bristol Bay Borough",,997,997,0,0,0,997,0,997,481,0,334,8,3,4,167
"G0200680","2010","4","9","Alaska","02","Denali Borough","068",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Denali Borough",,1826,1826,0,0,0,1826,0,1826,1637,10,65,19,1,14,80
"G0200700","2010","4","9","Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Dillingham Census Area",,4847,4847,0,0,0,4847,0,4847,878,11,3470,32,6,12,438
"G0200900","2010","4","9","Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,"21820","99999","999",,,,,,,,,,,,,,"Fairbanks North Star Borough",,97581,97581,67457,64513,2944,30124,0,97581,75175,4423,6879,2591,396,1446,6671
"G0201000","2010","4","9","Alaska","02","Haines Borough","100",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Haines Borough",,2508,2508,0,0,0,2508,0,2508,2086,10,230,14,0,21,147
"G0201050","2010","4","9","Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Hoonah-Angoon Census Area",,2150,2150,0,0,0,2150,0,2150,1014,8,890,12,1,6,219
"G0201100","2010","4","9","Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,"27940","99999","999",,,,,,,,,,,,,,"Juneau City and Borough",,31275,31275,24537,0,24537,6738,0,31275,21814,279,3692,1919,218,386,2967
"G0201220","2010","4","9","Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Kenai Peninsula Borough",,55400,55400,11447,0,11447,43953,0,55400,46857,269,4081,631,119,336,3107
"G0201300","2010","4","9","Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,"28540","99999","999",,,,,,,,,,,,,,"Ketchikan Gateway Borough",,13477,13477,10352,0,10352,3125,0,13477,9176,78,1910,943,27,93,1250
"G0201500","2010","4","9","Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,"28980","99999","999",,,,,,,,,,,,,,"Kodiak Island Borough",,13592,13592,9335,0,9335,4257,0,13592,7522,92,1797,2660,87,397,1037
"G0201640","2010","4","9","Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lake and Peninsula Borough",,1631,1631,0,0,0,1631,0,1631,380,9,1061,6,5,6,164
