GISJOIN,id,Temp,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
G0500390,05003,G05003,2010,3,7,Arkansas,5,Dallas County,39,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Dallas County,,8116
G0500410,05004,G05004,2010,3,7,Arkansas,5,Desha County,41,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Desha County,,13008
G0500430,05004,G05004,2010,3,7,Arkansas,5,Drew County,43,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Drew County,,18509
G0500450,05004,G05004,2010,3,7,Arkansas,5,Faulkner County,45,,,,,,,,,,,,,,30780,99999,340,,,,,,,,,,,,,,Faulkner County,,113237
G0500470,05004,G05004,2010,3,7,Arkansas,5,Franklin County,47,,,,,,,,,,,,,,22900,99999,999,,,,,,,,,,,,,,Franklin County,,18125
G0500490,05004,G05004,2010,3,7,Arkansas,5,Fulton County,49,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Fulton County,,12245
G0500510,05005,G05005,2010,3,7,Arkansas,5,Garland County,51,,,,,,,,,,,,,,26300,99999,999,,,,,,,,,,,,,,Garland County,,96024
G0500530,05005,G05005,2010,3,7,Arkansas,5,Grant County,53,,,,,,,,,,,,,,30780,99999,340,,,,,,,,,,,,,,Grant County,,17853
G0500550,05005,G05005,2010,3,7,Arkansas,5,Greene County,55,,,,,,,,,,,,,,37500,99999,308,,,,,,,,,,,,,,Greene County,,42090
G0500570,05005,G05005,2010,3,7,Arkansas,5,Hempstead County,57,,,,,,,,,,,,,,26260,99999,999,,,,,,,,,,,,,,Hempstead County,,22609
G0500590,05005,G05005,2010,3,7,Arkansas,5,Hot Spring County,59,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Hot Spring County,,32923
